;ID;Vakantiekenmerken;Perioden;Totaal;Auto;Touringcar;Vliegtuig;Overig vervoer;Niet georganiseerd
491;491;appartement;2013;0;0;0;0;0;0
492;492;appartement;2014;0;0;0;0;0;0
493;493;appartement;2015;0;0;0;0;0;0
494;494;appartement;2016;0;0;0;0;0;0
495;495;zomerhuisje_2;2002;366;198;0;0;4;164
496;496;zomerhuisje_2;2003;373;255;0;5;0;113
497;497;zomerhuisje_2;2004;295;209;0;0;0;76
498;498;zomerhuisje_2;2005;335;217;0;0;0;115
499;499;zomerhuisje_2;2006;351;210;0;2;0;128
500;500;zomerhuisje_2;2007;293;163;4;5;3;118
501;501;zomerhuisje_2;2008;283;210;0;4;0;69
502;502;zomerhuisje_2;2009;288;213;0;2;1;70
503;503;zomerhuisje_2;2010;349;257;4;0;2;85
504;504;zomerhuisje_2;2011;427;286;4;8;11;119
505;505;zomerhuisje_2;2012;349;0;0;0;0;0
506;506;zomerhuisje_2;2013;0;0;0;0;0;0
507;507;zomerhuisje_2;2014;0;0;0;0;0;0
508;508;zomerhuisje_2;2015;0;0;0;0;0;0
509;509;zomerhuisje_2;2016;0;0;0;0;0;0
510;510;Tent_2;2002;148;9;0;0;2;133
511;511;Tent_2;2003;110;14;0;2;5;86
512;512;Tent_2;2004;135;42;0;4;0;79
513;513;Tent_2;2005;81;15;0;3;0;55
514;514;Tent_2;2006;88;15;0;0;0;46
515;515;Tent_2;2007;65;13;0;0;7;45
516;516;Tent_2;2008;66;17;0;0;0;33
517;517;Tent_2;2009;77;10;0;0;8;49
518;518;Tent_2;2010;104;25;0;2;0;77
519;519;Tent_2;2011;67;10;6;0;7;44
520;520;Tent_2;2012;72;0;0;0;0;0
521;521;Tent_2;2013;0;0;0;0;0;0
522;522;Tent_2;2014;0;0;0;0;0;0
523;523;Tent_2;2015;0;0;0;0;0;0
524;524;Tent_2;2016;0;0;0;0;0;0
525;525;caravan;2002;55;8;0;0;0;45
526;526;caravan;2003;73;7;0;0;0;66
